id,state,coordinates,fuel type
20635,CA,"[-121.97293, 38.360124]",LPG
20636,CA,"[-121.532149, 38.580781]",LPG
20639,CA,"[-121.429039, 38.610428]",LPG
20640,CA,"[-121.428202, 38.549064]",LPG
20641,CA,"[-121.475556, 38.556839]",LPG
20644,CA,"[-121.312517, 38.583689]",LPG
20651,CA,"[-121.5739341226845, 39.48848959785379]",LPG
20654,CA,"[-121.63874, 39.141135]",LPG
20655,CA,"[-122.367668, 40.570499]",LPG
20662,CA,"[-120.542993, 41.491242]",LPG
21351,CA,"[-122.430237, 37.784912]",ELEC
21358,CA,"[-122.401, 37.78881]",ELEC
21360,CA,"[-122.411265, 37.791791]",ELEC
21374,CA,"[-118.24789, 34.057657]",ELEC
21395,CA,"[-118.523887, 34.248959]",ELEC
21396,CA,"[-118.528543, 34.241687]",ELEC
21397,CA,"[-118.532588, 34.236853]",ELEC
21398,CA,"[-118.544934, 34.22947]",ELEC
21402,CA,"[-118.28192, 33.740758]",ELEC
21414,CA,"[-118.449219, 34.293717]",ELEC
21419,CA,"[-118.474585, 34.077588]",ELEC
21450,CA,"[-118.050548, 34.145528]",ELEC
21498,CA,"[-117.864, 34.13556]",ELEC
21524,CA,"[-118.3966, 33.9826]",ELEC
21525,CA,"[-118.385231, 34.029971]",ELEC
21535,CA,"[-117.870566, 33.777054]",ELEC
21559,CA,"[-119.0458546627045, 34.16657601660278]",ELEC
21561,CA,"[-117.898618, 33.919899]",ELEC
21565,CA,"[-118.934793, 34.192178]",ELEC
21566,CA,"[-119.3368, 34.418322]",ELEC
21569,CA,"[-117.809208, 34.105275]",ELEC
21594,CA,"[-118.136621, 34.147709]",ELEC
21606,CA,"[-119.2124, 34.267352]",ELEC
21607,CA,"[-119.2154, 34.268756]",ELEC
21608,CA,"[-119.2492, 34.268]",ELEC
21609,CA,"[-118.425334, 33.917593]",ELEC
21612,CA,"[-117.95463, 34.089085]",ELEC
21618,CA,"[-118.175758, 33.930663]",ELEC
21673,CA,"[-121.732405, 38.539336]",ELEC
21713,CA,"[-120.64492, 35.25939]",ELEC
21911,CA,"[-120.415997, 34.952606]",LPG
21912,CA,"[-120.693573, 35.588058]",LPG
21914,CA,"[-120.676147, 35.264698]",LPG
22617,CA,"[-117.107501, 32.754335]",E85
25171,CA,"[-118.265821, 33.773005]",ELEC
25491,CA,"[-121.2634, 38.66292]",ELEC
25494,CA,"[-121.467902, 38.57277]",ELEC
25497,CA,"[-121.365, 38.7042]",ELEC
25500,CA,"[-121.517263, 38.615468]",ELEC
25501,CA,"[-121.4487, 38.552483]",ELEC
25502,CA,"[-121.5112, 38.524403]",ELEC
25507,CA,"[-120.78962, 38.73323]",ELEC
25511,CA,"[-121.9628, 38.356027]",ELEC
25514,CA,"[-121.967, 38.36557]",ELEC
25515,CA,"[-121.987, 38.35172]",ELEC
25516,CA,"[-122.001886, 38.356907]",ELEC
25517,CA,"[-121.9862, 38.355867]",ELEC
25518,CA,"[-121.994475, 38.351758]",ELEC
25519,CA,"[-121.297614, 38.682605]",ELEC
25520,CA,"[-121.842567, 38.457369]",ELEC
25522,CA,"[-120.828, 38.72799]",ELEC
25523,CA,"[-121.067, 38.6476]",ELEC
25525,CA,"[-121.391, 38.40553]",ELEC
25527,CA,"[-121.17, 38.74453]",ELEC
25610,CA,"[-121.334337, 38.618066]",ELEC
27302,CA,"[-121.69, 38.15485]",ELEC
27328,CA,"[-122.044229, 38.25281]",ELEC
27329,CA,"[-122.123, 38.23723]",ELEC
27335,CA,"[-122.265895, 38.105062]",ELEC
27468,CA,"[-117.330802, 33.134357]",LPG
28007,CA,"[-118.399767, 33.944761]",ELEC
28346,CA,"[-120.69194, 35.629536]",LPG
29862,CA,"[-121.993654, 38.35109]",ELEC
30837,CA,"[-117.4119492, 33.92399216]",LPG
32583,CA,"[-117.251427, 33.127936]",E85
32584,CA,"[-118.465643, 34.053925]",E85
32585,CA,"[-117.364261, 33.189298]",E85
32850,CA,"[-121.491058, 38.578568]",ELEC
32954,CA,"[-121.999551, 38.01483]",E85
32979,CA,"[-122.110511, 37.666392]",E85
33028,CA,"[-119.349578, 36.239781]",E85
33177,CA,"[-118.256812, 34.059047]",ELEC
33178,CA,"[-118.256673, 34.033898]",ELEC
33179,CA,"[-118.21713, 34.081998]",ELEC
33180,CA,"[-118.257977, 33.799476]",ELEC
33182,CA,"[-118.444358, 34.208708]",ELEC
33183,CA,"[-118.390147, 34.241928]",ELEC
33189,CA,"[-118.426241, 33.941654]",LPG
33503,CA,"[-121.364763, 38.660751]",E85
33509,CA,"[-121.2651, 38.781435]",E85
33544,CA,"[-123.2091, 39.15]",ELEC
33545,CA,"[-121.961192, 38.368755]",ELEC
33555,CA,"[-121.7388, 38.54643]",ELEC
33556,CA,"[-121.738, 38.5443]",ELEC
33557,CA,"[-121.749713, 38.544538]",ELEC
33558,CA,"[-121.6947, 38.55755]",ELEC
33559,CA,"[-121.721373, 38.569412]",ELEC
33564,CA,"[-118.13889, 33.84788]",ELEC
33654,CA,"[-121.409398, 38.49565]",E85
33655,CA,"[-121.409773, 38.549124]",E85
33659,CA,"[-121.290787, 38.707056]",E85
33660,CA,"[-121.390814, 38.424101]",E85
33690,CA,"[-122.5096, 37.94495]",ELEC
33695,CA,"[-122.2087, 37.7136]",ELEC
33930,CA,"[-121.50479, 38.637316]",E85
33947,CA,"[-118.171451, 33.789457]",LPG
34223,CA,"[-121.3030116259643, 38.26858537103691]",E85
34271,CA,"[-121.367403, 38.409248]",E85
34272,CA,"[-121.466554, 38.576622]",E85
34288,CA,"[-122.069787, 38.251398]",E85
34306,CA,"[-121.729056, 38.675874]",E85
34806,CA,"[-121.268767, 38.61515]",E85
35027,CA,"[-117.25447, 33.841]",E85
35090,CA,"[-120.8769885396729, 37.52251496998912]",LPG
35094,CA,"[-121.001394, 37.930846]",E85
35098,CA,"[-117.749148, 34.107553]",E85
35099,CA,"[-121.8923417718277, 37.36410150433162]",E85
35100,CA,"[-116.970545, 33.947057]",E85
35103,CA,"[-120.6931320460287, 35.69172142704298]",LPG
35146,CA,"[-122.0678, 38.2482]",ELEC
35149,CA,"[-122.418, 37.77913]",ELEC
35175,CA,"[-121.9014731349182, 37.92213535296086]",LPG
35206,CA,"[-117.347685, 33.298722]",E85
35207,CA,"[-117.12411, 32.887271]",E85
35208,CA,"[-116.073153, 34.249661]",E85
35560,CA,"[-120.689683, 35.249929]",ELEC
35561,CA,"[-120.676, 35.25982]",ELEC
35643,CA,"[-119.199978, 34.248013]",E85
35944,CA,"[-121.866073, 37.275418]",E85
35946,CA,"[-121.971472, 37.548161]",E85
35947,CA,"[-120.995017, 37.634058]",E85
35948,CA,"[-122.255662, 37.809238]",E85
35949,CA,"[-121.271717, 38.729838]",E85
36020,CA,"[-119.663729, 37.333214]",LPG
36022,CA,"[-120.871189, 38.680044]",LPG
36029,CA,"[-116.451284, 34.121482]",LPG
36338,CA,"[-122.297049, 37.868431]",E85
36340,CA,"[-121.91311, 37.397641]",E85
36597,CA,"[-120.804838, 38.727849]",E85
36610,CA,"[-119.829553, 34.44198]",ELEC
36898,CA,"[-121.271654, 38.664253]",E85
36899,CA,"[-121.497922, 38.56337]",E85
36900,CA,"[-121.904646, 37.355675]",E85
38379,CA,"[-118.49151, 34.019875]",ELEC
38508,CA,"[-118.02793, 34.139765]",E85
38517,CA,"[-122.408991, 37.784871]",ELEC
38518,CA,"[-122.419488, 37.806798]",ELEC
38521,CA,"[-118.4898, 34.010528]",ELEC
39236,CA,"[-122.072536, 38.001646]",LPG
39314,CA,"[-123.198497, 39.1458]",ELEC
39679,CA,"[-122.23455, 37.49413]",E85
39870,CA,"[-121.832042, 38.007799]",ELEC
39871,CA,"[-119.035324, 35.310723]",ELEC
39872,CA,"[-117.995215, 33.865497]",ELEC
39873,CA,"[-118.245675, 33.824968]",ELEC
39874,CA,"[-116.471, 33.78414]",ELEC
39875,CA,"[-118.100471, 33.861544]",ELEC
39876,CA,"[-121.843715, 39.756332]",ELEC
39877,CA,"[-117.928216, 33.997621]",ELEC
39878,CA,"[-119.717629, 36.836818]",ELEC
39879,CA,"[-122.463541, 37.671267]",ELEC
39880,CA,"[-122.050128, 37.980192]",ELEC
39881,CA,"[-117.615292, 33.88309]",ELEC
39882,CA,"[-117.918684, 33.675397]",ELEC
39883,CA,"[-121.691555, 38.55252]",ELEC
39884,CA,"[-118.151166, 33.9473]",ELEC
39885,CA,"[-117.975944, 34.136553]",ELEC
39886,CA,"[-116.976156, 32.795896]",ELEC
39887,CA,"[-118.026911, 34.069536]",ELEC
39888,CA,"[-121.385527, 38.402217]",ELEC
39889,CA,"[-117.106837, 33.116492]",ELEC
39890,CA,"[-124.164405, 40.800562]",ELEC
39891,CA,"[-121.204871, 38.634132]",ELEC
39892,CA,"[-117.445732, 34.135345]",ELEC
39893,CA,"[-121.9576, 37.489389]",ELEC
39894,CA,"[-119.789796, 36.818622]",ELEC
39895,CA,"[-117.968337, 33.766376]",ELEC
39896,CA,"[-118.307028, 33.889201]",ELEC
39897,CA,"[-121.558573, 36.996869]",ELEC
39898,CA,"[-118.25536, 34.137054]",ELEC
39899,CA,"[-119.820934, 34.43427]",ELEC
39901,CA,"[-122.075178, 37.662305]",ELEC
39902,CA,"[-117.031718, 33.741163]",ELEC
39903,CA,"[-117.989861, 33.71069]",ELEC
39904,CA,"[-117.723298, 33.632505]",ELEC
39905,CA,"[-116.283712, 33.70711]",ELEC
39906,CA,"[-118.273229, 34.035168]",ELEC
39907,CA,"[-118.356601, 34.133446]",ELEC
39908,CA,"[-120.502428, 37.305891]",ELEC
39910,CA,"[-118.466606, 34.269809]",ELEC
39911,CA,"[-120.99471, 37.705119]",ELEC
39912,CA,"[-117.694876, 34.082404]",ELEC
39913,CA,"[-117.212007, 34.065387]",ELEC
39914,CA,"[-122.277767, 38.292706]",ELEC
39915,CA,"[-117.100836, 32.659001]",ELEC
39916,CA,"[-117.298334, 33.181953]",ELEC
39917,CA,"[-117.864434, 33.80857]",ELEC
39918,CA,"[-119.150217, 34.22771]",ELEC
39919,CA,"[-118.138184, 34.591173]",ELEC
39920,CA,"[-122.665068, 38.267202]",ELEC
39921,CA,"[-117.025943, 32.956772]",ELEC
39922,CA,"[-122.36654, 40.571632]",ELEC
39923,CA,"[-122.227322, 37.495963]",ELEC
39925,CA,"[-122.32124, 37.985253]",ELEC
39926,CA,"[-117.297603, 33.941878]",ELEC
39927,CA,"[-117.419673, 33.925469]",ELEC
39928,CA,"[-121.256452, 38.752198]",ELEC
39929,CA,"[-121.396604, 38.631393]",ELEC
39930,CA,"[-121.662519, 36.720023]",ELEC
39931,CA,"[-117.298, 34.074378]",ELEC
39932,CA,"[-117.147384, 32.833179]",ELEC
39933,CA,"[-117.215269, 32.802475]",ELEC
39934,CA,"[-122.022783, 37.359362]",ELEC
39935,CA,"[-121.877656, 37.275144]",ELEC
39936,CA,"[-117.676142, 33.47443]",ELEC
39937,CA,"[-122.162746, 37.712609]",ELEC
39938,CA,"[-120.68455, 35.25062]",ELEC
39939,CA,"[-121.988027, 37.323569]",ELEC
39943,CA,"[-122.714089, 38.425537]",ELEC
39944,CA,"[-121.849899, 36.611189]",ELEC
39945,CA,"[-118.449059, 34.168824]",ELEC
39947,CA,"[-118.778957, 34.277324]",ELEC
39948,CA,"[-121.275339, 38.022022]",ELEC
39949,CA,"[-117.155039, 33.516768]",ELEC
39951,CA,"[-121.4632051865082, 37.75990555387505]",ELEC
39952,CA,"[-117.799302, 33.72484]",ELEC
39953,CA,"[-121.941218, 38.381441]",ELEC
39954,CA,"[-118.557774, 34.420546]",ELEC
39955,CA,"[-122.255493, 38.118088]",ELEC
39956,CA,"[-117.3219, 34.517883]",ELEC
39957,CA,"[-119.27569, 36.32327]",ELEC
39959,CA,"[-117.890899, 34.074227]",ELEC
40183,CA,"[-117.834212, 34.107189]",LPG
40185,CA,"[-117.12114, 32.823912]",ELEC
40331,CA,"[-121.884519, 37.573022]",E85
40407,CA,"[-117.1471252, 32.82408524]",ELEC
40641,CA,"[-117.248825, 33.939242]",LPG
41179,CA,"[-118.0761469269837, 33.90930280409452]",E85
41345,CA,"[-122.76843, 38.425827]",LPG
41352,CA,"[-121.970806, 37.38237]",ELEC
41526,CA,"[-120.6609, 35.279705]",ELEC
43478,CA,"[-118.686393, 34.035802]",ELEC
43554,CA,"[-121.538165, 38.617005]",LPG
43555,CA,"[-121.430328, 38.632294]",E85
44017,CA,"[-121.948969, 37.488952]",ELEC
44400,CA,"[-117.723844, 33.577103]",ELEC
45313,CA,"[-121.91835, 37.702909]",ELEC
46136,CA,"[-120.807672, 38.379983]",ELEC
46350,CA,"[-117.4119492, 33.92399216]",E85
46473,CA,"[-122.468341, 37.768766]",ELEC
46482,CA,"[-121.8995386415253, 37.36217972612609]",ELEC
46519,CA,"[-118.798832, 34.148413]",ELEC
46709,CA,"[-122.341931, 37.57792]",ELEC
46710,CA,"[-122.341931, 37.57792]",ELEC
