id,state,coordinates,fuel type
65299,NY,"[-79.220087, 42.115968]",ELEC
65302,NY,"[-73.364194, 44.991526]",ELEC
65303,NY,"[-73.581038, 40.657519]",ELEC
68579,NY,"[-73.790463, 42.664671]",ELEC
70451,NY,"[-76.242663, 43.185219]",ELEC
70452,NY,"[-73.754611, 42.76943]",ELEC
70460,NY,"[-76.242663, 43.185219]",ELEC
71024,NY,"[-75.065723, 42.469481]",ELEC
72670,NY,"[-73.4521865, 40.7865204]",ELEC
72907,NY,"[-73.9409169, 42.8121531]",ELEC
72909,NY,"[-73.7954479, 42.724676]",ELEC
72970,NY,"[-73.857186, 42.638663]",ELEC
74631,NY,"[-75.936638, 43.932998]",ELEC
74632,NY,"[-77.300722, 42.916433]",ELEC
74648,NY,"[-74.000055, 40.762442]",ELEC
75944,NY,"[-77.674413, 43.08779]",ELEC
77665,NY,"[-72.816045, 40.924144]",ELEC
78416,NY,"[-73.130392, 40.79009]",ELEC
79175,NY,"[-75.86605, 42.919517]",ELEC
80871,NY,"[-77.661537, 43.203546]",ELEC
80873,NY,"[-72.4568, 41.0437]",ELEC
81608,NY,"[-77.897024, 43.099649]",ELEC
82260,NY,"[-77.439452, 43.101839]",ELEC
82355,NY,"[-76.256973, 43.181259]",ELEC
82545,NY,"[-78.717862, 42.891613]",ELEC
85682,NY,"[-73.990256, 41.980335]",ELEC
85949,NY,"[-73.477728, 42.171859]",ELEC
85969,NY,"[-73.892094, 40.755072]",ELEC
85970,NY,"[-76.163547, 43.053474]",ELEC
86199,NY,"[-73.782529, 42.678984]",ELEC
86200,NY,"[-74.139946, 41.852574]",ELEC
86715,NY,"[-75.935148, 42.099763]",ELEC
87725,NY,"[-77.668047, 42.821089]",ELEC
87914,NY,"[-73.316725, 40.802658]",ELEC
88340,NY,"[-75.859296, 42.929429]",ELEC
88498,NY,"[-73.985344, 43.69475]",ELEC
89914,NY,"[-75.496866, 43.232936]",ELEC
91865,NY,"[-76.2455, 43.18835]",ELEC
92004,NY,"[-78.612777, 42.406807]",ELEC
92116,NY,"[-77.061621, 43.235555]",ELEC
94576,NY,"[-77.440979, 43.104334]",ELEC
94829,NY,"[-73.624303, 41.416575]",ELEC
94830,NY,"[-73.900066, 40.86334]",ELEC
94832,NY,"[-73.977798, 40.702081]",ELEC
94835,NY,"[-73.446421, 44.98745]",ELEC
94838,NY,"[-76.698227, 43.319784]",ELEC
94841,NY,"[-73.204309, 40.819753]",ELEC
94843,NY,"[-76.178778, 42.634612]",ELEC
94845,NY,"[-79.243142, 42.097747]",ELEC
94849,NY,"[-76.34148, 42.9827]",ELEC
94851,NY,"[-74.02813, 41.101628]",ELEC
94853,NY,"[-73.779194, 40.911425]",ELEC
94855,NY,"[-73.932448, 41.661091]",ELEC
94856,NY,"[-73.78534, 41.682561]",ELEC
94859,NY,"[-73.786901, 43.053998]",ELEC
94861,NY,"[-74.168358, 40.630898]",ELEC
94867,NY,"[-73.771738, 41.051099]",ELEC
94868,NY,"[-75.639561, 42.07795]",ELEC
96646,NY,"[-74.015049, 40.717717]",ELEC
98431,NY,"[-73.762909, 42.858085]",ELEC
98674,NY,"[-74.005143, 40.714723]",ELEC
98692,NY,"[-73.615008, 40.729637]",ELEC
98836,NY,"[-78.852481, 42.746772]",ELEC
99360,NY,"[-75.38053, 42.930765]",ELEC
99500,NY,"[-74.097694, 40.581432]",ELEC
99538,NY,"[-73.124122, 40.910066]",ELEC
99950,NY,"[-76.838332, 42.250834]",ELEC
102325,NY,"[-73.819109, 42.710356]",ELEC
102326,NY,"[-75.902081, 42.145542]",ELEC
102327,NY,"[-73.956658, 40.721853]",ELEC
102328,NY,"[-78.69568, 42.968675]",ELEC
102329,NY,"[-73.770409, 41.825379]",ELEC
102330,NY,"[-73.853254, 42.68869]",ELEC
102331,NY,"[-74.027428, 41.941893]",ELEC
102332,NY,"[-76.187446, 43.102424]",ELEC
102333,NY,"[-73.780488, 40.912547]",ELEC
102334,NY,"[-73.997302, 40.717522]",ELEC
102335,NY,"[-73.980414, 40.780976]",ELEC
102336,NY,"[-73.971685, 40.753356]",ELEC
102338,NY,"[-77.108063, 42.170757]",ELEC
102339,NY,"[-73.450709, 40.779854]",ELEC
102340,NY,"[-73.491829, 44.704537]",ELEC
102341,NY,"[-73.79282, 40.66179]",ELEC
102342,NY,"[-73.679992, 43.328388]",ELEC
102343,NY,"[-72.426995, 40.891909]",ELEC
102344,NY,"[-73.7251, 40.664127]",ELEC
102346,NY,"[-73.836457, 41.0615]",ELEC
102347,NY,"[-75.206857, 43.113878]",ELEC
102348,NY,"[-77.440128, 43.028655]",ELEC
102349,NY,"[-76.846005, 42.969252]",ELEC
102350,NY,"[-75.954114, 43.979585]",ELEC
102351,NY,"[-73.854936, 40.963395]",ELEC
104135,NY,"[-74.758022, 42.797294]",ELEC
104341,NY,"[-73.876513, 40.846205]",ELEC
104725,NY,"[-78.97480837406613, 43.01931644111694]",ELEC
104726,NY,"[-78.874887, 42.889475]",ELEC
104727,NY,"[-78.875361, 42.885259]",ELEC
104729,NY,"[-78.879561, 42.88585]",ELEC
104730,NY,"[-78.875574, 42.879878]",ELEC
104731,NY,"[-78.873472, 42.88362]",ELEC
104733,NY,"[-78.728499, 42.93057]",ELEC
104734,NY,"[-78.88137, 42.932067]",ELEC
104824,NY,"[-76.481996, 42.353991]",ELEC
104977,NY,"[-75.780637, 42.020139]",ELEC
104978,NY,"[-73.674594, 43.273451]",ELEC
105187,NY,"[-78.872146, 42.887326]",ELEC
114878,NY,"[-73.791346, 42.6363949]",ELEC
114879,NY,"[-73.51334, 41.853424]",ELEC
114880,NY,"[-72.603648, 40.948767]",ELEC
114881,NY,"[-73.924507, 40.762502]",ELEC
114882,NY,"[-77.7358019, 42.910916]",ELEC
114883,NY,"[-75.913891, 42.101355]",ELEC
114884,NY,"[-75.893754, 42.103321]",ELEC
114885,NY,"[-75.9054211, 42.1305299]",ELEC
114886,NY,"[-77.1721948, 42.5975255]",ELEC
114887,NY,"[-75.9655463, 43.1547822]",ELEC
114888,NY,"[-73.916201, 40.878532]",ELEC
114889,NY,"[-73.946022, 40.680168]",ELEC
114890,NY,"[-73.983809, 40.693999]",ELEC
114891,NY,"[-73.969935, 40.692635]",ELEC
114892,NY,"[-73.978606, 40.689457]",ELEC
114893,NY,"[-73.963081, 40.719338]",ELEC
114894,NY,"[-73.954681, 40.715954]",ELEC
114895,NY,"[-73.983071, 40.696848]",ELEC
114896,NY,"[-73.990993, 40.695115]",ELEC
114897,NY,"[-73.982849, 40.694841]",ELEC
114898,NY,"[-73.963312, 40.71949]",ELEC
114900,NY,"[-73.987222, 40.69306]",ELEC
114901,NY,"[-73.985252, 40.692579]",ELEC
114902,NY,"[-73.990986, 40.677412]",ELEC
114903,NY,"[-73.985446, 40.691469]",ELEC
114904,NY,"[-74.000298, 40.692941]",ELEC
114905,NY,"[-73.99816, 40.692062]",ELEC
114906,NY,"[-73.990594, 40.702882]",ELEC
114907,NY,"[-73.940902, 40.65601]",ELEC
114908,NY,"[-73.995566, 40.701461]",ELEC
114909,NY,"[-73.963964, 40.719425]",ELEC
114910,NY,"[-73.958595, 40.715033]",ELEC
114911,NY,"[-73.979234, 40.688086]",ELEC
114912,NY,"[-73.992365, 40.698707]",ELEC
114913,NY,"[-73.988672, 40.689016]",ELEC
114914,NY,"[-73.985696, 40.693122]",ELEC
114915,NY,"[-73.981744, 40.693248]",ELEC
114916,NY,"[-73.971541, 40.672884]",ELEC
114917,NY,"[-73.98672, 40.702194]",ELEC
114918,NY,"[-73.954866, 40.719751]",ELEC
114919,NY,"[-73.956583, 40.722137]",ELEC
114920,NY,"[-77.25305, 42.878978]",ELEC
114921,NY,"[-75.14905, 44.596426]",ELEC
114922,NY,"[-74.323495, 41.338916]",ELEC
114923,NY,"[-73.849046, 43.625261]",ELEC
114924,NY,"[-78.5957239, 42.9797166]",ELEC
114925,NY,"[-74.926982, 42.70163]",ELEC
114926,NY,"[-77.0806181, 42.153242]",ELEC
114927,NY,"[-77.0641288, 42.1505995]",ELEC
114928,NY,"[-74.02842, 41.429539]",ELEC
114929,NY,"[-76.163925, 42.607282]",ELEC
114930,NY,"[-76.2120075, 42.5865197]",ELEC
114931,NY,"[-72.487361, 41.015218]",ELEC
114932,NY,"[-78.346881, 42.858354]",ELEC
114933,NY,"[-78.694689, 42.911924]",ELEC
114935,NY,"[-76.922161, 42.518959]",ELEC
114936,NY,"[-78.608363, 42.765864]",ELEC
114937,NY,"[-73.867784, 40.767948]",ELEC
114938,NY,"[-73.53245, 40.843556]",ELEC
114939,NY,"[-73.836223, 40.75674]",ELEC
114940,NY,"[-73.83648, 40.718526]",ELEC
114941,NY,"[-74.713163, 41.589173]",ELEC
114943,NY,"[-73.609369, 40.741248]",ELEC
114944,NY,"[-74.176669, 41.686314]",ELEC
114945,NY,"[-73.916711, 41.385216]",ELEC
114946,NY,"[-73.64195, 42.252397]",ELEC
114947,NY,"[-72.364235, 41.101671]",ELEC
114948,NY,"[-77.6532771, 43.0553429]",ELEC
114949,NY,"[-73.9743985, 41.7341073]",ELEC
114950,NY,"[-73.963884, 41.720382]",ELEC
114952,NY,"[-77.6621077, 42.3226496]",ELEC
114953,NY,"[-76.8564844, 42.1586381]",ELEC
114954,NY,"[-76.8663819, 42.1633523]",ELEC
114955,NY,"[-76.871848, 42.162895]",ELEC
114956,NY,"[-73.795964, 42.253092]",ELEC
114957,NY,"[-76.502904, 42.401672]",ELEC
114958,NY,"[-76.497331, 42.440502]",ELEC
114959,NY,"[-76.49534, 42.441678]",ELEC
114960,NY,"[-72.5973094, 40.9486585]",ELEC
114961,NY,"[-73.9905466, 41.9699162]",ELEC
114962,NY,"[-73.986431, 41.969757]",ELEC
114964,NY,"[-73.7159613, 43.4006692]",ELEC
114965,NY,"[-73.983714, 44.283968]",ELEC
114966,NY,"[-74.010977, 44.297078]",ELEC
114967,NY,"[-73.759863, 42.727846]",ELEC
114968,NY,"[-73.959245, 40.743049]",ELEC
114969,NY,"[-73.942612, 40.747589]",ELEC
114970,NY,"[-73.955638, 40.745627]",ELEC
114971,NY,"[-74.30023, 44.8475913]",ELEC
114972,NY,"[-73.985995, 40.76073]",ELEC
114973,NY,"[-73.967711, 40.766853]",ELEC
114974,NY,"[-73.964368, 40.763981]",ELEC
114975,NY,"[-74.4157444, 41.4472172]",ELEC
114976,NY,"[-74.369714, 41.463118]",ELEC
114977,NY,"[-73.955206, 41.666913]",ELEC
114978,NY,"[-74.105714, 41.667789]",ELEC
