id,state,coordinates,fuel type
52314,CA,"[-117.180829, 32.740808]",LPG
52316,CA,"[-117.140075, 32.835247]",LPG
52623,CA,"[-122.130035, 37.637301]",LPG
52624,CA,"[-121.396192, 38.487249]",LPG
52625,CA,"[-121.342441, 38.663554]",LPG
53158,CA,"[-118.496176, 34.011259]",LPG
53478,CA,"[-118.176446, 35.063182]",LPG
53705,CA,"[-119.045879, 34.355546]",LPG
54015,CA,"[-116.302277, 33.757455]",LPG
61568,CA,"[-117.933158, 34.133319]",LPG
62121,CA,"[-118.238742, 34.027082]",LPG
64503,CA,"[-119.777613, 36.729834]",LPG
66062,CA,"[-117.080852, 34.854593]",LPG
66139,CA,"[-120.133225, 37.019808]",LPG
66176,CA,"[-121.144319, 37.755573]",LPG
66200,CA,"[-116.403994, 33.817971]",LPG
66940,CA,"[-119.071487, 35.318109]",LPG
66941,CA,"[-119.002426, 35.353443]",LPG
66942,CA,"[-118.135873, 33.874743]",LPG
66943,CA,"[-122.280476, 37.524148]",LPG
66944,CA,"[-118.46178, 34.407414]",LPG
66945,CA,"[-116.474014, 33.815274]",LPG
66946,CA,"[-118.596118, 34.257107]",LPG
66947,CA,"[-121.799991, 39.7127]",LPG
66948,CA,"[-122.03655, 37.959307]",LPG
66949,CA,"[-117.894265, 33.664876]",LPG
66950,CA,"[-117.849024, 34.099958]",LPG
66951,CA,"[-118.186274, 33.963181]",LPG
66952,CA,"[-116.9415, 32.79541]",LPG
66953,CA,"[-115.550799, 32.777545]",LPG
66954,CA,"[-117.099493, 33.126574]",LPG
66955,CA,"[-124.130362, 40.803696]",LPG
66956,CA,"[-121.954783, 37.500939]",LPG
66957,CA,"[-122.020499, 37.550311]",LPG
66958,CA,"[-119.790819, 36.753765]",LPG
66959,CA,"[-117.941295, 33.869737]",LPG
66960,CA,"[-117.902821, 33.773687]",LPG
66961,CA,"[-122.400924, 37.723962]",LPG
66962,CA,"[-121.903409, 37.403974]",LPG
66963,CA,"[-121.909415, 37.332236]",LPG
66964,CA,"[-121.84841, 37.308131]",LPG
66965,CA,"[-117.920632, 33.736425]",LPG
66966,CA,"[-118.767669, 34.27238]",LPG
66967,CA,"[-120.001838, 38.910499]",LPG
66968,CA,"[-118.351198, 33.804789]",LPG
66969,CA,"[-123.211187, 39.165412]",LPG
66970,CA,"[-122.232722, 38.105433]",LPG
66971,CA,"[-118.448601, 34.208917]",LPG
66972,CA,"[-119.280982, 34.276337]",LPG
66973,CA,"[-117.318293, 34.513955]",LPG
66974,CA,"[-117.343726, 34.508093]",LPG
66976,CA,"[-117.989348, 33.741723]",LPG
66977,CA,"[-117.841958, 34.12888]",LPG
66978,CA,"[-122.083582, 37.663537]",LPG
66980,CA,"[-117.989189, 33.682636]",LPG
