#,ID,State,Fuel Type,Latitude,Longitude
0,13401,New York,Propane,41.651953,-74.672938
1,13444,New York,Propane,42.8601082048398,-78.85922572883605
2,19234,New York,Propane,40.658112,-73.634055
3,19236,New York,Propane,40.851029,-73.160001
4,33001,New York,Ethanol,40.692812,-73.464669
5,33025,New York,Ethanol,42.78657,-73.99777
6,33404,New York,Ethanol,40.715264,-73.393473
7,33486,New York,Propane,42.5497889,-76.6744609
8,33847,New York,Ethanol,42.629724,-73.776371
9,33849,New York,Ethanol,41.23846,-73.701367
10,33851,New York,Ethanol,43.090389,-76.094177
11,34216,New York,Ethanol,41.194311,-73.880944
12,35272,New York,Electric,40.814019,-73.608978
13,35430,New York,Ethanol,40.927328,-72.764756
14,35431,New York,Ethanol,41.146978,-73.933908
15,35432,New York,Ethanol,40.915415,-72.348133
16,35562,New York,Electric,42.702424,-73.857693
17,35563,New York,Electric,42.969823,-73.773021
18,35579,New York,Ethanol,40.691422,-73.477561
19,35614,New York,Ethanol,40.882367,-73.220888
20,35822,New York,Ethanol,42.715671,-73.81201
21,35824,New York,Ethanol,40.844044,-73.277126
22,35825,New York,Ethanol,42.601571,-73.792571
23,35828,New York,Ethanol,40.791371,-73.41706
24,35832,New York,Ethanol,40.977334,-73.695826
25,35835,New York,Ethanol,41.248483,-74.172356
26,35921,New York,Ethanol,40.76473,-73.022956
27,35983,New York,Ethanol,40.845379,-73.273087
28,35985,New York,Ethanol,40.657774,-73.649095
29,35986,New York,Ethanol,40.946992,-72.929752
30,36327,New York,Ethanol,40.939222,-72.289942
31,36328,New York,Ethanol,40.799926,-73.173583
32,36400,New York,Propane,40.780796,-73.558148
33,36532,New York,Electric,42.97167,-73.774182
34,38035,New York,Ethanol,40.836058,-72.744764
35,38500,New York,Ethanol,40.829874,-73.014191
36,39210,New York,Ethanol,40.9386342806941,-73.00980312540894
37,39211,New York,Ethanol,40.862041,-73.057233
38,40324,New York,Ethanol,40.753274,-73.703397
39,40325,New York,Ethanol,41.555133,-74.004052
40,40632,New York,Ethanol,40.904439,-73.787691
41,41110,New York,Propane,42.907221,-73.580334
42,41111,New York,Propane,42.982234,-73.855453
43,41240,New York,Electric,40.867403,-73.906405
44,42856,New York,Propane,43.120818,-77.65186
45,43572,New York,Ethanol,40.877161,-73.325083
46,44174,New York,Electric,41.504105,-74.068916
47,44175,New York,Electric,41.504105,-74.068916
48,44176,New York,Electric,42.451285,-75.100333
49,44177,New York,Electric,42.451285,-75.100333
50,44178,New York,Electric,42.784867,-78.76558
51,44179,New York,Electric,42.784867,-78.76558
52,44180,New York,Electric,40.792986,-73.00827
53,44181,New York,Electric,40.792986,-73.00827
54,44182,New York,Electric,44.667361,-73.444894
55,44183,New York,Electric,44.667361,-73.444894
56,44184,New York,Electric,40.996358,-73.669405
57,44185,New York,Electric,40.996358,-73.669405
58,44186,New York,Electric,40.924758,-72.704752
59,44187,New York,Electric,40.924758,-72.704752
60,44188,New York,Electric,43.077581,-77.641934
61,44189,New York,Electric,43.077581,-77.641934
62,44190,New York,Electric,40.859886,-73.162067
63,44191,New York,Electric,40.859886,-73.162067
64,44192,New York,Electric,42.764517,-73.88522
65,44193,New York,Electric,42.764517,-73.88522
66,44198,New York,Electric,40.809865,-73.507761
67,44201,New York,Electric,40.670497,-73.717206
68,44202,New York,Electric,40.670497,-73.717206
69,44203,New York,Electric,40.809865,-73.507761
70,44204,New York,Electric,42.095812,-76.003703
71,44205,New York,Electric,42.095812,-76.003703
72,44206,New York,Electric,41.587383,-73.908392
73,44207,New York,Electric,41.587383,-73.908392
74,44208,New York,Electric,43.204065,-77.478237
75,44209,New York,Electric,43.204065,-77.478237
76,44212,New York,Electric,40.753954,-73.561974
77,44213,New York,Electric,40.753954,-73.561974
78,44216,New York,Electric,42.96275,-78.691132
79,44218,New York,Electric,41.289317,-73.835547
80,44219,New York,Electric,41.289317,-73.835547
81,44317,New York,Electric,42.676971,-73.787334
82,44318,New York,Electric,42.676971,-73.787334
83,44319,New York,Electric,42.979725,-78.797346
84,44321,New York,Electric,42.966894,-76.535879
85,44323,New York,Electric,40.758245,-73.776954
86,44324,New York,Electric,40.758245,-73.776954
87,44325,New York,Electric,41.071072,-73.950866
88,44326,New York,Electric,41.071072,-73.950866
89,44328,New York,Electric,40.636324,-74.019228
90,44329,New York,Electric,40.589167,-73.960707
91,44330,New York,Electric,40.589167,-73.960707
92,44331,New York,Electric,43.147147,-76.114274
93,44332,New York,Electric,43.147147,-76.114274
94,44333,New York,Electric,43.100001,-77.481422
95,44334,New York,Electric,43.100001,-77.481422
96,44336,New York,Electric,40.622268,-73.742699
97,44337,New York,Electric,40.622268,-73.742699
98,44338,New York,Electric,42.435042,-76.5088
99,44339,New York,Electric,42.435042,-76.5088
100,44342,New York,Electric,40.707242,-73.803844
101,44343,New York,Electric,40.707242,-73.803844
102,44344,New York,Electric,43.025044,-74.358103
103,44345,New York,Electric,43.025044,-74.358103
104,44346,New York,Electric,40.71693,-73.630152
105,44347,New York,Electric,40.71693,-73.630152
106,44348,New York,Electric,42.16246,-76.867435
107,44349,New York,Electric,42.16246,-76.867435
108,44350,New York,Electric,40.834455,-73.379693
109,44351,New York,Electric,40.834455,-73.379693
110,44352,New York,Electric,41.948965,-74.032033
111,44354,New York,Electric,43.128557,-78.696197
112,44355,New York,Electric,43.128557,-78.696197
113,44358,New York,Electric,41.40859,-74.413372
114,44359,New York,Electric,41.40859,-74.413372
115,44360,New York,Electric,40.919104,-73.776645
116,44361,New York,Electric,40.919104,-73.776645
